fips,usdm_current_category,usdm_current_score,usdm_pct_d0_plus,usdm_pct_d2_plus,drought_frequency_score,usdm_peak_drought_d3d4_pct,usdm_as_of
47133,D0,20.0,100.0,0.0,,,20260915
47135,D1,24.9,99.6,0.0,,,20260915
47137,D0,20.0,100.0,0.0,,,20260915
47139,D0,20.0,100.0,0.0,,,20260915
47141,D0,20.0,100.0,0.0,,,20260915
47143,D0,20.0,100.0,0.0,,,20260915
47145,D0,23.6,109.1,0.0,,,20260915
47147,D0,20.2,100.6,0.0,,,20260915
47149,D0,20.5,101.2,0.0,,,20260915
47151,D0,20.0,100.0,0.0,,,20260915
47153,D0,20.0,100.0,0.0,,,20260915
47155,D0,9.0,37.0,0.0,,,20260915
47157,D1,60.0,200.0,0.0,,,20260915
47159,D0,20.0,100.0,0.0,,,20260915
47161,None,0.0,0.0,0.0,,,20260915
47163,D0,13.8,69.0,0.0,,,20260915
47165,D0,20.2,100.5,0.0,,,20260915
47167,D1,63.0,205.1,5.1,,,20260915
47169,D0,20.0,100.0,0.0,,,20260915
47171,D0,20.0,100.0,0.0,,,20260915
47173,D0,3.9,19.4,0.0,,,20260915
47175,D0,20.0,100.0,0.0,,,20260915
47177,D0,20.0,100.0,0.0,,,20260915
47179,D0,20.0,100.0,0.0,,,20260915
47181,D1,48.1,170.1,0.0,,,20260915
47183,None,0.0,0.0,0.0,,,20260915
47185,D0,20.0,100.0,0.0,,,20260915
47187,D1,26.8,117.0,0.0,,,20260915
47189,D0,22.9,107.3,0.0,,,20260915
48001,D1,60.0,200.0,0.0,,,20260915
48003,D1,60.0,200.0,0.0,,,20260915
48005,D0,20.6,101.6,0.0,,,20260915
48007,D2,120.0,300.0,100.0,,,20260915
48009,D2,91.4,252.3,52.3,,,20260915
48011,D4,296.9,496.9,296.9,,,20260915
48013,D1,60.2,200.4,0.4,,,20260915
48015,D1,58.8,197.0,0.0,,,20260915
48017,D2,115.1,288.7,88.7,,,20260915
48019,D0,17.0,85.2,0.0,,,20260915
48021,D2,82.0,236.8,36.8,,,20260915
